"","pwr","TrtHRA","CtrlHRA","n1","n2"
"1",0.724,0.667425897013944,0.596243426262611,14,55
"2",0.756,0.66831621149689,0.596012088888773,14,55
"3",0.763,0.667874242224428,0.59611004036585,15,54
"4",0.779,0.666625398038704,0.596493642433311,16,53
"5",0.799,0.666948305376844,0.596474226165532,17,52
"6",0.776,0.66604471268699,0.596631283252342,17,52
"7",0.793,0.666518249995316,0.59650762086497,18,51
"8",0.823,0.666643421324671,0.596565358876827,19,50
"9",0.823,0.666470799866394,0.596475591459207,19,50
"10",0.84,0.667113643148281,0.596197412725363,20,49
"11",0.823,0.665999590080833,0.59674545947043,21,48
"12",0.837,0.666910501143418,0.596428123890417,21,48
"13",0.858,0.667329526971394,0.596123637723932,22,47
"14",0.87,0.667071763429101,0.596157952245271,23,46
"15",0.844,0.666662266316551,0.596431416680693,23,46
"16",0.87,0.667127006497041,0.596291266289769,24,45
"17",0.893,0.667501348993158,0.596054899246223,25,44
"18",0.863,0.666205892500845,0.596819162737938,26,43
"19",0.879,0.667218470061787,0.596160054761421,26,43
"20",0.897,0.667559366809638,0.596070995466638,27,42
"21",0.889,0.667003202595937,0.596505194145904,28,41
"22",0.886,0.667547252561752,0.595911004077612,28,41
"23",0.902,0.667666018380407,0.595842648528461,29,40
"24",0.896,0.667207918114897,0.596261336051037,30,39
"25",0.89,0.666662366839409,0.596686702992061,30,39
"26",0.89,0.666156418613071,0.596832372809578,31,38
"27",0.882,0.667433323117857,0.595899488289938,32,37
"28",0.888,0.666600755878573,0.596802027511179,32,37
"29",0.892,0.667258126554207,0.59603175177339,33,36
"30",0.876,0.666445303090075,0.596848980594522,34,35
"31",0.906,0.666924698600459,0.596168391544593,34,35
"32",0.873,0.666814436161473,0.596445230400091,35,34
"33",0.887,0.666719773626309,0.5966571329357,36,33
"34",0.888,0.666822374877719,0.596515225305791,37,32
"35",0.882,0.666980450879668,0.59642667226384,37,32
"36",0.894,0.666778628892373,0.596659066576509,38,31
"37",0.907,0.667199898328851,0.595916885535692,39,30
"38",0.864,0.666484966497408,0.596944155523194,39,30
"39",0.882,0.666443093690678,0.597183837134184,40,29
"40",0.895,0.667201543281886,0.595923280777899,41,28
"41",0.864,0.666879069669753,0.596470420747943,41,28
