"","pwr","TrtHRA","CtrlHRA","n1","n2"
"1",0.161,0.623059250160811,0.596839119099641,14,55
"2",0.19,0.624520143852448,0.59646916709004,14,55
"3",0.192,0.624603072164475,0.596427030584202,15,54
"4",0.221,0.625946393062051,0.59602347338685,16,53
"5",0.202,0.625089159917821,0.596265707287119,17,52
"6",0.219,0.625198453850445,0.596262569985429,17,52
"7",0.225,0.625254480785592,0.596184327197596,18,51
"8",0.246,0.626327985986467,0.595788676963247,19,50
"9",0.216,0.624612667124723,0.596401670040722,19,50
"10",0.228,0.624246945190179,0.596592636706779,20,49
"11",0.254,0.625306887752776,0.596072236721574,21,48
"12",0.257,0.624820681439838,0.596346825595329,21,48
"13",0.231,0.62440722472753,0.596485916988881,22,47
"14",0.231,0.624473101739183,0.596488832891816,23,46
"15",0.248,0.624614992194671,0.596441926907319,23,46
"16",0.196,0.623590564151637,0.596954533385801,24,45
"17",0.231,0.623872265036862,0.596879773833803,25,44
"18",0.235,0.625260257433273,0.596020515093573,26,43
"19",0.242,0.623890743798086,0.596922220803712,26,43
"20",0.252,0.624935072343235,0.596230700607717,27,42
"21",0.243,0.624685964218574,0.596405383087241,28,41
"22",0.262,0.62495150829915,0.596151241053052,28,41
"23",0.263,0.625030807804972,0.59616625994824,29,40
"24",0.245,0.624424970404871,0.59658749680678,30,39
"25",0.263,0.624515008913335,0.596526357899657,30,39
"26",0.253,0.625004364067063,0.596119740030422,31,38
"27",0.263,0.625137261250672,0.59605723337602,32,37
"28",0.227,0.623701878078302,0.597311889193863,32,37
"29",0.249,0.624870634355488,0.596186557034882,33,36
"30",0.261,0.625030270888561,0.596086690347682,34,35
"31",0.246,0.624684412634386,0.596381873273316,34,35
"32",0.277,0.625051098174997,0.59608050850714,35,34
"33",0.268,0.624835498655405,0.596269629603276,36,33
"34",0.228,0.624171020854496,0.59697423197904,37,32
"35",0.244,0.624819751442923,0.596315492329316,37,32
"36",0.248,0.624570154876948,0.596642490724091,38,31
"37",0.265,0.624997610986492,0.595990279846237,39,30
"38",0.255,0.624648897457591,0.596486493032036,39,30
"39",0.261,0.624904438212143,0.596150659650926,40,29
"40",0.258,0.624972157750215,0.595979374174878,41,28
"41",0.24,0.624463414863184,0.596725479149998,41,28
