"","pwr","TrtHRA","CtrlHRA","n1","n2"
"1",0.326,0.637761651775429,0.596606323270858,14,55
"2",0.338,0.638547401627072,0.596479985716257,14,55
"3",0.367,0.639334350553604,0.59625761436603,15,54
"4",0.359,0.638347271529146,0.59651420559389,16,53
"5",0.398,0.638303660606217,0.596517595643117,17,52
"6",0.374,0.637826811470843,0.596709898462597,17,52
"7",0.409,0.639452188156006,0.596144211890188,18,51
"8",0.41,0.639326965811321,0.596193562257184,19,50
"9",0.391,0.63774905252258,0.596710522249713,19,50
"10",0.426,0.639194593569422,0.596254126980936,20,49
"11",0.439,0.63885343453845,0.596401835652879,21,48
"12",0.413,0.63852556515282,0.596519791071812,21,48
"13",0.433,0.639238613154146,0.59610839968949,22,47
"14",0.453,0.638839803323889,0.596356486108143,23,46
"15",0.439,0.638187608486677,0.596705015019002,23,46
"16",0.455,0.638716539721367,0.596436847208831,24,45
"17",0.436,0.638260285398069,0.596689234639381,25,44
"18",0.448,0.638239158981045,0.596677964130816,26,43
"19",0.431,0.638231998652338,0.596749670824932,26,43
"20",0.474,0.638800355892123,0.596344962345882,27,42
"21",0.445,0.637570748405676,0.597137253037609,28,41
"22",0.454,0.638256768038886,0.596755912161459,28,41
"23",0.52,0.639421387576104,0.595902991030433,29,40
"24",0.487,0.639088505325149,0.596208258803879,30,39
"25",0.47,0.638613317686618,0.596530012608703,30,39
"26",0.482,0.638722184031379,0.596402549459338,31,38
"27",0.486,0.639259576584628,0.596016852383324,32,37
"28",0.462,0.63836819852077,0.596650462199335,32,37
"29",0.496,0.638491374372803,0.596575341162579,33,36
"30",0.468,0.638236209912944,0.59686230609196,34,35
"31",0.475,0.638588934659116,0.596573625791105,34,35
"32",0.472,0.638572325312178,0.596544641951553,35,34
"33",0.451,0.638245152545506,0.596925583524226,36,33
"34",0.496,0.638956355322835,0.596200499012165,37,32
"35",0.496,0.639027645412778,0.596061598033243,37,32
"36",0.483,0.638991306131859,0.596080505889084,38,31
"37",0.47,0.638546075094381,0.596560783518666,39,30
"38",0.475,0.638601286674781,0.596462692114076,39,30
"39",0.451,0.638341841385185,0.597016821169804,40,29
"40",0.477,0.638755282767092,0.596604891773658,41,28
"41",0.452,0.6385059283215,0.596691474610725,41,28
