category,keyword
other participants' progress,before and after pictures
other participants' goals,walking/running
other participants' goals,losing weight
healthy diet discussions,food
others,just likes reading
shared experiences,not alone
no comment,NA
no comment,No comment
no comment,No input
no comment,nothing
healthy diet discussions,easy on the sweets
no comment,not been in the groups
others,he is already doing
other participants' progress,peoples progress
shared experiences,going through the same thing
shared experiences,not alone
no comment,x
